[19:16:59 DBG] Starting web host
[19:17:03 DBG] Getting MongoCollection codetest.Models.User
[19:17:03 DBG] Creating mongo index
[19:17:11 DBG] Getting MongoCollection codetest.Models.User
[19:17:11 DBG] Creating mongo index
[19:17:12 DBG] Getting MongoCollection codetest.Models.User
[19:17:12 DBG] Creating mongo index
[19:17:33 DBG] Getting MongoCollection codetest.Models.User
[19:17:33 DBG] Creating mongo index
[19:17:34 DBG] Getting MongoCollection codetest.Models.User
[19:17:34 DBG] Creating mongo index
[19:18:31 DBG] Getting MongoCollection codetest.Models.User
[19:18:31 DBG] Creating mongo index
[19:18:38 DBG] Getting MongoCollection codetest.Models.User
[19:18:38 DBG] Creating mongo index
[19:19:00 DBG] Getting MongoCollection codetest.Models.User
[19:19:00 DBG] Creating mongo index
[19:19:00 DBG] Getting MongoCollection codetest.Models.User
[19:19:00 DBG] Creating mongo index
[19:19:32 DBG] Getting MongoCollection codetest.Models.User
[19:19:32 DBG] Creating mongo index
[19:19:33 DBG] Getting MongoCollection codetest.Models.User
[19:19:33 DBG] Creating mongo index
